Country,Region,Party family,Party,Comment,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female)
Australia,Queensland,National Party,Liberal National Party,,0,2009,2011,John Paul Langbroek,0
Australia,Queensland,National Party,Liberal National Party,,1,2011,2012,Jeff Seeney,0
Australia,Queensland,National Party,Liberal National Party,,0,2012,2015,Campbell Newman,0
Australia,Queensland,National Party,Liberal National Party,,0,2015,2016,Lawrence Springborg,0
Australia,Queensland,National Party,Liberal National Party,,0,2016,2017,Tim Nicholls,0
Australia,Queensland,National Party,Liberal National Party,,0,2017,2020,Deborah Kay Frecklington,1
Australia,Queensland,National Party,Liberal National Party,,0,2020,,David Crisafulli,0
Australia,South Australia,National Party,National Party,,0,1973,1993,Peter Blacker,0
Australia,South Australia,National Party,National Party,,0,1997,2010,Karlene Maywald,1
Australia,South Australia,National Party,National Party,No current parliamentary leader.,,,,,
Australia,Tasmania,National Party,Country Party,,0,1922,1925,Ernest Blyth,0
Australia,Tasmania,National Party,Centre Party,,0,1969,1972,Kevin Lyons,0
Australia,Tasmania,National Party,National Party,No current parliamentary leader.,,,,,
Australia,Victoria,National Party,Victorian Farmers' Union / Country Party,,0,1917,1933,John Allan,0
Australia,Victoria,National Party,United Country Party / Country Party,,0,1933,1935,Murray Bourchier,0
Australia,Victoria,National Party,United Country Party / Country Party,,0,1935,1945,Albert Dunstan,0
Australia,Victoria,National Party,Country Party,,0,1945,1955,John McDonald,0
Australia,Victoria,National Party,Country Party,,0,1955,1964,Herbert Hyland,0
Australia,Victoria,National Party,Country Party,,0,1964,1970,George Moss,0
Australia,Victoria,National Party,Country Party / National Party,,0,1970,1988,Peter Ross-Edwards,0
Australia,Victoria,National Party,National Party,,0,1988,1999,Pat McNamara,0
Australia,Victoria,National Party,National Party,,0,1999,2014,Peter Ryan,0
Australia,Victoria,National Party,National Party,,0,2014,2024,Peter Walsh,0
Australia,Victoria,National Party,National Party,,0,2024,,Danny O'Brien,0
Australia,Western Australia,National Party,Country Party,,0,1914,1915,James Gardiner,0
Australia,Western Australia,National Party,Country Party,,0,1915,1919,Francis Willmott,0
Australia,Western Australia,National Party,Country Party,,0,1919,1922,Tom Harrison,0
Australia,Western Australia,National Party,Country Party,,0,1922,1923,Henry Maley,0
Australia,Western Australia,National Party,Country Party,,0,1923,1930,Alec Thomson,0
Australia,Western Australia,National Party,Country Party,,0,1930,1942,Charles Latham,0
Australia,Western Australia,National Party,Country Party / Country and Democratic League,,0,1942,1962,Arthur Watts,0
Australia,Western Australia,National Party,Country Party,,0,1962,1973,Crawford Nalder,0
Australia,Western Australia,National Party,Country Party,,0,1973,1975,Ray McPharlin,0
Australia,Western Australia,National Party,National Country Party,,0,1975,1985,Dick Old,0
Australia,Western Australia,National Party,National Party,,0,1985,2001,Hendy Cowan,0
Australia,Western Australia,National Party,National Party,,0,2001,2005,Max Trenorden,0
Australia,Western Australia,National Party,National Party,,0,2005,2013,Brendon Grylls,0
Australia,Western Australia,National Party,National Party,,0,2013,2016,Terry Redman,0
Australia,Western Australia,National Party,National Party,,0,2016,2017,Brendon Grylls,0
Australia,Western Australia,National Party,National Party,,0,2017,2023,Mia Davies,1
Australia,Western Australia,National Party,National Party,,0,2023,,Shane Love,0
