Country,Region,Party,Comment,Interim leader (0= No; 1 =Yes),Year became leader,Year ended as leader,Party leader,Female leader (0= male; 1 = female),Party family
Australia,New South Wales,Liberal Party,,0,1981,1981,Bruce McDonald ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1981,1983,John Dowd ,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1983,1992,Nick Greiner,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1992,1995,John Fahey,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1995,1998,Peter Collins,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,1998,2002,Kerry Chikarovski,1,Liberal Party
Australia,New South Wales,Liberal Party,,0,2002,2005,John Brogden,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2005,2007,Peter Debnam,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2007,2014,Barry O'Farrell,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2014,2017,Mike Baird,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2017,2021,Gladys Berejiklian,1,Liberal Party
Australia,New South Wales,Liberal Party,,0,2021,2023,Dominic Perrottet,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2023,2025,Mark Speakman,0,Liberal Party
Australia,New South Wales,Liberal Party,,0,2025,,Kellie Sloane,1,Liberal Party
Australia,Northern Territory,Country Liberal Party,"""Regional"" party affiliated with both the Liberal Party and the National Party of Australia",0,1974,1977,Goff Letts,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1977,1984,Paul Everingham,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1984,1986,Ian Tuxworth,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1986,1988,Stephen Hatton,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1988,1995,Marshall Perron,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1995,1999,Shane Stone,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,1999,2003,Denis Burke,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2003,2005,Terry Mills,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2005,2005,Denis Burke,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2005,2008,Jodeen Carney,1,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2008,2013,Terry Mills,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2013,2016,Adam Giles,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2016,2020,Gary Higgins,0,Liberal Party
Australia,Northern Territory,Country Liberal Party,,0,2020,,Lia Finocchiaro,1,Liberal Party
Australia,Queensland,Liberal Party,,0,1965,1976,Gordon Chalk,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1976,1978,William Knox,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1978,1983,Llewellyn Edwards,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1983,1983,Terry White,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1983,1988,William Knox,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1988,1990,Angus Innes,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1990,1991,Denver Beanland,0,Liberal Party
Australia,Queensland,Liberal Party,,0,1991,1998,Joan Sheldon,1,Liberal Party
Australia,Queensland,Liberal Party,,0,1998,2001,David Watson,0,Liberal Party
Australia,Queensland,Liberal Party,,0,2001,2006,Bob Quinn,0,Liberal Party
Australia,Queensland,Liberal Party,,0,2006,2007,Bruce Flegg,0,Liberal Party
Australia,Queensland,Liberal Party,,0,2007,2008,Mark McArdle,0,Liberal Party
Australia,Queensland,Liberal National Party,Merger of the regional branches of the Liberal Party and the National Party,0,2008,2009,Lawrence Springborg,0,Liberal Party
Australia,Queensland,Liberal National Party,,0,2009,2011,John Paul Langbroek,0,Liberal Party
Australia,Queensland,Liberal National Party,,1,2011,2012,Jeff Seeney,0,Liberal Party
Australia,Queensland,Liberal National Party,,0,2012,2015,Campbell Newman,0,Liberal Party
Australia,Queensland,Liberal National Party,,0,2015,2016,Lawrence Springborg,0,Liberal Party
Australia,Queensland,Liberal National Party,,0,2016,2017,Tim Nicholls,0,Liberal Party
Australia,Queensland,Liberal National Party,,0,2017,2020,Deborah Kay Frecklington,1,Liberal Party
Australia,Queensland,Liberal National Party,,0,2020,,David Crisafulli,0,Liberal Party
Australia,South Australia,Liberal and Country League,,0,1933,1938,Richard Butler ,0,Liberal Party
Australia,South Australia,Liberal and Country League,,0,1938,1966,Thomas Playford,0,Liberal Party
Australia,South Australia,Liberal and Country League,,0,1966,1972,Steele Hall,0,Liberal Party
Australia,South Australia,Liberal and Country League,"Changed name to Liberal Party in 1974,",0,1972,1975,Bruce Eastick,0,Liberal Party
Australia,South Australia,Liberal Party,,0,1975,1982,David Tonkin,0,Liberal Party
Australia,South Australia,Liberal Party,,0,1982,1990,John Olsen,0,Liberal Party
Australia,South Australia,Liberal Party,,0,1990,1992,Dale Baker ,0,Liberal Party
Australia,South Australia,Liberal Party,,0,1992,1996,Dean Brown,0,Liberal Party
Australia,South Australia,Liberal Party,,0,1996,2001,John Olsen,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2001,2006,Rob Kerin,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2006,2007,Iain Evans,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2007,2009,Martin Hamilton-Smith,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2009,2013,Isobel Redmond,1,Liberal Party
Australia,South Australia,Liberal Party,,0,2013,2022,Steven Marshall,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2022,2024,David Speirs,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2024,2025,Vincent Tarzia,0,Liberal Party
Australia,South Australia,Liberal Party,,0,2025,,Ashton Hurn,1,Liberal Party
Australia,Tasmania,Liberal Party,,0,1945,1950,Neil Campbell,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1950,1056,Rex Townley,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1956,1960,Tim Jackson,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1960,1972,Angus Bethune,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1972,1979,Max Bingham,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1979,1981,Geoff Pearsall,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1981,1991,Robin Gray,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1991,1996,Ray Groom,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1996,1999,Tony Rundle,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,1999,2001,Sue Napier,1,Liberal Party
Australia,Tasmania,Liberal Party,,0,2001,2002,Bob Cheek,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,2002,2006,Rene Hidding,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,2006,2020,Will Hodgman,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,2020,2022,Peter Gutwein,0,Liberal Party
Australia,Tasmania,Liberal Party,,0,2022,,Jeremy Rockliff,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1945,1951,Hon Thomas Hollway,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1951,1952,Mr L G Norman,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1952,1953,Mr Trevor Oldham,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1953,1972,Hon Sir Henry Bolte,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1972,1981,Hon Sir Rupert Hamer,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1981,1982,Lindsay Thompson,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1982,1989,Jeff Kennett,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1989,1991,Alan Brown,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1991,1999,Jeff Kennett,0,Liberal Party
Australia,Victoria,Liberal Party,,0,1999,2002,Denis Napthine,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2002,2006,Robert Doyle,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2006,2013,Ted Baillieu,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2013,2014,Denis Napthine,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2014,2022,Matthew Guy,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2022,2024,John Pesutto,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2024,2025,Brad Battin,0,Liberal Party
Australia,Victoria,Liberal Party,,0,2025,,Jess Wilson,1,Liberal Party
Australia,Western Australia,Liberal Party,,0,1945,1946,Sir Ross McDonald,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1946,1957,Sir Ross McLarty,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1957,1972,Sir David Brand,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1972,1982,Sir Charles Court,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1982,1984,Ray O’Connor,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1984,1986,Bill Hassell,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1986,1992,Barry MacKinnon,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,1990,2001,Richard Court,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2001,2005,Colin Barnett,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2005,2006,Matt Birney,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2006,2008,Paul Omodei,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2008,2008,Troy Buswell,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2008,2017,Colin Barnett,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2017,2019,Mike Nahan,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2019,2020,Liza Harvey,1,Liberal Party
Australia,Western Australia,Liberal Party,,0,2020,2021,Zak Kirkup,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2021,2023,David Honey,0,Liberal Party
Australia,Western Australia,Liberal Party,,0,2023,2025,Libby Mettam,1,Liberal Party
Australia,Western Australia,Liberal Party,,0,2025,,Basil Zempilas,0,Liberal Party
